dataset,model_short,model_label,expected_n,result_file_status,complete_dataset_run,sample_index,prediction_raw,prediction,ground_truth,correct_strict,correct_relaxed,prompt_tokens,completion_tokens,reasoning_tokens,total_tokens
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,False,3,<answer>Yes</answer>,Yes,No,False,False,59,7,0,314
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,False,6,<answer>No</answer>,No,No,True,True,62,7,0,811
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,False,7,<answer>Yes</answer>,Yes,yes,True,True,62,7,0,491
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,False,8,<answer>Yes</answer>,Yes,yes,True,True,59,7,0,300
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,False,19,<answer>Left</answer>,Left,Right,False,False,54,7,0,878
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,False,25,<answer>No</answer>,No,Yes,False,False,58,7,0,412
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,False,30,<answer>FLAIR (Fluid-Attenuated Inversion Recovery)</answer>,FLAIR (Fluid-Attenuated Inversion Recovery),T2 weighted MRI,False,False,58,17,0,718
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,False,38,<answer>Yes</answer>,Yes,yes,True,True,57,7,0,364
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,False,42,<answer>Yes</answer>,Yes,No,False,False,58,7,0,715
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,False,44,<answer>left</answer>,left,Right,False,False,61,7,0,1081
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,False,45,<answer>right</answer>,right,Both,False,False,71,7,0,974
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,False,46,<answer>Yes</answer>,Yes,No,False,False,61,7,0,545
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,False,48,<answer>unilateral</answer>,unilateral,Bilateral,False,False,62,8,0,623
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,False,51,<answer>Sagittal</answer>,Sagittal,axial,False,False,55,8,0,258
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,False,55,<answer>Yes</answer>,Yes,No,False,False,58,7,0,419
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,False,58,<answer>No</answer>,No,yes,False,False,61,7,0,372
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,False,59,<answer>Hydrocephalus</answer>,Hydrocephalus,Hydrocephalus,True,True,64,8,0,324
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,False,65,<answer>Right lung</answer>,Right lung,Stomach,False,False,57,8,0,777
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,False,77,<answer>Yes</answer>,Yes,No,False,False,60,7,0,444
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,False,84,"<answer>There is a large cystic lesion (mass) in the tail of the pancreas, suggestive of a pancreatic pseudocyst or a cystic neoplasm (such as a mucinous cystic neoplasm).</answer>","There is a large cystic lesion (mass) in the tail of the pancreas, suggestive of a pancreatic pseudocyst or a cystic neoplasm (such as a mucinous cystic neoplasm).",Enlarged,False,False,53,42,0,1503
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,False,85,<answer>Yes</answer>,Yes,No,False,False,61,7,0,696
