dataset,model_short,model_label,expected_n,result_file_status,complete_dataset_run,sample_index,prediction_raw,prediction,ground_truth,correct_strict,correct_relaxed,prompt_tokens,completion_tokens,reasoning_tokens,total_tokens
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,True,0,<answer>Multiple bilateral pulmonary nodules and masses</answer>,Multiple bilateral pulmonary nodules and masses,Pulmonary nodules,False,True,1135,12,0,2032
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,True,1,<answer>1.5 cm</answer>,1.5 cm,2.5cm x 1.7cm x 1.6cm,False,False,1119,10,0,2572
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,True,2,<answer>No</answer>,No,No,True,True,1147,7,0,1591
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,True,3,<answer>No</answer>,No,No,True,True,1139,7,0,1549
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,True,4,<answer>yes</answer>,yes,no,False,False,1132,7,0,1556
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,True,5,<answer>Gastrointestinal</answer>,Gastrointestinal,chest,False,False,1133,9,0,2444
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,True,6,<answer>No</answer>,No,No,True,True,1154,7,0,1483
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,True,7,<answer>Yes</answer>,Yes,yes,True,True,1135,7,0,1568
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,True,8,<answer>Yes</answer>,Yes,yes,True,True,1132,7,0,1305
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,True,9,<answer>No</answer>,No,No,True,True,1152,7,0,1821
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,True,10,<answer>axial</answer>,axial,Axial,True,True,1153,7,0,1274
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,True,11,<answer>Yes</answer>,Yes,Yes,True,True,1136,7,0,1272
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,True,12,<answer>No</answer>,No,no,True,True,1149,7,0,1349
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,True,13,<answer>Posterior cerebral artery</answer>,Posterior cerebral artery,Basilar artery,False,False,1144,10,0,2418
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,True,14,<answer>Yes</answer>,Yes,Yes,True,True,1148,7,0,1622
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,True,15,<answer>axial</answer>,axial,Axial,True,True,1141,7,0,1342
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,True,16,<answer>Gallbladder</answer>,Gallbladder,Gallbladder,True,True,1146,8,0,2690
VQA-RAD-no-cot,gemini35flash,Gemini 3.5 Flash,100,complete,True,17,<answer>No</answer>,No,yes,False,False,1176,7,0,1631
